route_long_name,route_short_name,agency_id,route_type,route_id
,EC,1,2,30
,EC,12,2,35
,EC,13,2,79
,EC,3,2,59
,EC,7,2,46
,EC,9,2,10
,EC 27,5,2,58
,EC 27,7,2,42
,EC 32,5,2,83
,EC 43,1,2,102
,EC 43,5,2,6
,EC 62,5,2,101
,EC 62,9,2,88
,EC 75,5,2,31
,EC 85,5,2,97
,EC 89,5,2,22
,EC 95,2,2,76
,EC 95,5,2,70
,EC 96,2,2,48
,EC 96,5,2,67
,ECE 85,5,2,63
,ECE 88,5,2,15
,EN,10,2,47
,EN,3,2,11
,EN,7,2,71
,EN,9,2,54
,IC,1,2,7
,IC,2,2,55
,IC,4,2,86
,IC,6,2,32
,IC,8,2,53
,IC,9,2,23
,IC 10,5,2,91
,IC 17,5,2,29
,IC 18,5,2,1
,IC 24,5,2,2
,IC 26,5,2,106
,IC 27,5,2,84
,IC 29,5,2,68
,IC 32,5,2,72
,IC 34,5,2,69
,IC 35,5,2,12
,IC 39,5,2,60
,IC 51,5,2,98
,IC 55,5,2,33
,IC 56,5,2,3
,IC 57,5,2,80
,IC 6,1,2,73
,IC 61,5,2,27
,IC 62,5,2,39
,IC 76,13,2,16
,IC 77,5,2,103
,IC 87,5,2,20
,IC 90,5,2,64
,ICE,1,2,56
,ICE,8,2,61
,ICE,9,2,104
,ICE 10,5,2,24
,ICE 11,5,2,87
,ICE 12,5,2,99
,ICE 13,5,2,34
,ICE 14,5,2,25
,ICE 15,5,2,43
,ICE 16,5,2,51
,ICE 17,5,2,4
,ICE 18,5,2,74
,ICE 19,5,2,28
,ICE 2,5,2,40
,ICE 20,5,2,17
,ICE 21,5,2,96
,ICE 22,5,2,52
,ICE 24,5,2,77
,ICE 25,5,2,18
,ICE 26,5,2,85
,ICE 27,5,2,36
,ICE 28,5,2,37
,ICE 29,5,2,65
,ICE 32,5,2,13
,ICE 32,9,2,57
,ICE 39,5,2,94
,ICE 4,5,2,44
,ICE 41,5,2,19
,ICE 42,5,2,81
,ICE 43,5,2,82
,ICE 45,5,2,50
,ICE 47,5,2,38
,ICE 49,5,2,89
,ICE 50,5,2,75
,ICE 55,5,2,92
,ICE 60,5,2,14
,ICE 61,1,2,78
,ICE 62,5,2,66
,ICE 62,9,2,90
,ICE 77,5,2,49
,ICE 78,5,2,100
,ICE 79,5,2,41
,ICE 8,5,2,93
,ICE 82,11,2,105
,ICE 82,5,2,26
,ICE 83,11,2,62
,ICE 83,5,2,95
,ICE 89,5,2,5
,ICE 9,5,2,45
,ICE 91,5,2,8
,RJ,7,2,21
,RJ,9,2,9
