trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
1110862,06:16:00,06:16:00,503089,0,,
1110862,06:48:00,06:50:00,132615,1,,
1110862,07:09:00,07:11:00,101556,2,,
1110862,07:31:00,07:32:00,609995,3,,
1110862,07:58:00,08:00:00,149290,4,1,
1110862,08:08:00,08:08:00,171090,5,,
400857,16:07:00,16:07:00,618770,0,,
400857,16:14:00,16:16:00,479937,1,,1
400857,16:41:00,16:42:00,617041,2,,
400857,17:02:00,17:04:00,24522,3,,
400857,17:23:00,17:25:00,132615,4,,
400857,17:59:00,17:59:00,545163,5,,
1020540,06:51:00,06:51:00,493531,0,1,
1020540,07:00:00,07:02:00,256505,1,,
1020540,07:08:00,07:08:00,402879,2,,
1048835,06:51:00,06:51:00,493531,0,,
1048835,07:00:00,07:02:00,256505,1,,
1048835,07:08:00,07:08:00,402879,2,,
117903,20:52:00,20:52:00,402879,0,,
117903,20:58:00,21:00:00,256505,1,,
117903,21:09:00,21:09:00,493531,2,,
120836,14:51:00,14:51:00,493531,0,,
120836,15:00:00,15:02:00,256505,1,,
120836,15:08:00,15:08:00,402879,2,,
1344521,14:52:00,14:52:00,402879,0,,
1344521,14:58:00,15:00:00,256505,1,,
1344521,15:09:00,15:09:00,493531,2,,
1383517,12:52:00,12:52:00,402879,0,,
1383517,12:58:00,13:00:00,256505,1,,
1383517,13:09:00,13:09:00,493531,2,,1
1384845,16:51:00,16:51:00,493531,0,,
1384845,17:00:00,17:02:00,256505,1,,
1384845,17:08:00,17:08:00,402879,2,,
1428164,16:52:00,16:52:00,402879,0,,
1428164,16:58:00,17:00:00,256505,1,,
1428164,17:09:00,17:09:00,493531,2,,
1493663,12:51:00,12:51:00,493531,0,1,
1493663,13:00:00,13:02:00,256505,1,,
1493663,13:08:00,13:08:00,402879,2,,
1510495,22:52:00,22:52:00,402879,0,,
1510495,22:58:00,23:00:00,256505,1,,
1510495,23:09:00,23:09:00,493531,2,,
1513517,22:52:00,22:52:00,402879,0,,
1513517,22:58:00,23:00:00,256505,1,,
1513517,23:09:00,23:09:00,493531,2,,
1522810,18:52:00,18:52:00,402879,0,,
1522810,18:58:00,19:00:00,256505,1,,
1522810,19:09:00,19:09:00,493531,2,,
1525831,20:51:00,20:51:00,493531,0,,
1525831,21:00:00,21:02:00,256505,1,,
1525831,21:08:00,21:08:00,402879,2,,
1578735,10:52:00,10:52:00,402879,0,,
1578735,10:58:00,11:00:00,256505,1,,
1578735,11:09:00,11:09:00,493531,2,,
1591855,08:51:00,08:51:00,493531,0,1,
1591855,09:00:00,09:02:00,256505,1,,
1591855,09:08:00,09:08:00,402879,2,,
213369,22:52:00,22:52:00,402879,0,,
213369,22:58:00,23:00:00,256505,1,,
213369,23:09:00,23:09:00,493531,2,,
255759,08:52:00,08:52:00,402879,0,,
255759,08:58:00,09:00:00,256505,1,,
255759,09:09:00,09:09:00,493531,2,,1
38324,10:51:00,10:51:00,493531,0,,
38324,11:00:00,11:02:00,256505,1,,
38324,11:08:00,11:08:00,402879,2,,
386988,06:52:00,06:52:00,402879,0,,
386988,06:58:00,07:00:00,256505,1,,
386988,07:09:00,07:09:00,493531,2,,
58498,22:52:00,22:52:00,402879,0,,
58498,22:58:00,23:00:00,256505,1,,
58498,23:09:00,23:09:00,493531,2,,
64879,20:51:00,20:51:00,493531,0,,
64879,21:00:00,21:02:00,256505,1,,
64879,21:08:00,21:08:00,402879,2,,
705401,06:52:00,06:52:00,402879,0,,
705401,06:58:00,07:00:00,256505,1,,
705401,07:09:00,07:09:00,493531,2,,
706538,20:51:00,20:51:00,493531,0,1,
706538,21:00:00,21:02:00,256505,1,,
706538,21:08:00,21:08:00,402879,2,,
811791,18:50:00,18:50:00,493531,0,1,
811791,18:58:00,19:02:00,256505,1,,
811791,19:08:00,19:08:00,402879,2,,
818780,20:51:00,20:51:00,493531,0,,
818780,21:00:00,21:02:00,256505,1,,
818780,21:08:00,21:08:00,402879,2,,
1000241,07:37:00,07:37:00,302640,0,,
1000241,07:49:00,07:49:00,469434,1,1,1
1000241,08:31:00,08:33:00,400433,2,,
1000241,08:39:00,08:41:00,540744,3,,
1000241,08:53:00,08:55:00,253163,4,,
1000241,09:18:00,09:28:00,479921,5,,
1000241,10:17:00,10:19:00,393652,6,,
1000241,10:31:00,10:31:00,607318,7,,
1021927,07:27:00,07:27:00,34015,0,,
1021927,07:38:00,07:41:00,393652,1,,
1021927,08:33:00,08:39:00,200462,2,,
1021927,09:29:00,09:31:00,303123,3,,
1021927,09:51:00,09:51:00,4829,4,1,1
1021927,10:54:00,10:54:00,618767,5,,
103060,09:27:00,09:27:00,48075,0,,
103060,09:38:00,09:41:00,393652,1,,
103060,10:33:00,10:39:00,200462,2,,
103060,11:29:00,11:31:00,303123,3,,
103060,11:51:00,11:51:00,4829,4,1,1
103060,12:54:00,12:54:00,618767,5,,
1033795,13:37:00,13:37:00,302640,0,,
1033795,13:49:00,13:49:00,469434,1,1,1
1033795,14:31:00,14:33:00,400433,2,,
1033795,14:39:00,14:41:00,595576,3,,
1033795,14:53:00,14:55:00,253163,4,,
1033795,15:18:00,15:28:00,479921,5,,
1033795,16:17:00,16:19:00,393652,6,,
1033795,16:31:00,16:31:00,607318,7,,
1082678,09:27:00,09:27:00,48075,0,,
1082678,09:38:00,09:41:00,393652,1,,
1082678,10:33:00,10:41:00,200462,2,,
1082678,11:05:00,11:08:00,153604,3,,
1082678,11:23:00,11:25:00,484573,4,,
1082678,11:31:00,11:33:00,325919,5,,
1082678,12:15:00,12:15:00,469434,6,1,1
1082678,12:27:00,12:27:00,302640,7,,
109498,19:37:00,19:37:00,302640,0,,
109498,19:49:00,19:49:00,469434,1,1,1
109498,20:31:00,20:33:00,400433,2,,
109498,20:39:00,20:41:00,540744,3,,
109498,20:53:00,20:55:00,253163,4,,
109498,21:18:00,21:28:00,479921,5,,
109498,22:17:00,22:19:00,393652,6,,
109498,22:31:00,22:31:00,607318,7,,
1095573,13:28:00,13:28:00,479921,0,,
1095573,14:17:00,14:19:00,393652,1,,
1095573,14:31:00,14:31:00,607318,2,,
113764,17:37:00,17:37:00,302640,0,,
113764,17:49:00,17:49:00,469434,1,1,1
113764,18:31:00,18:33:00,400433,2,,
113764,18:39:00,18:41:00,540744,3,,
113764,18:53:00,18:55:00,253163,4,,
113764,19:18:00,19:28:00,479921,5,,
113764,20:17:00,20:19:00,393652,6,,
113764,20:31:00,20:31:00,277848,7,,
1212189,07:52:00,07:52:00,389326,0,,
1212189,07:56:00,07:56:00,4829,1,1,1
1212189,08:31:00,08:34:00,314017,2,,
1212189,09:21:00,09:28:00,479921,3,,
1212189,10:17:00,10:19:00,393652,4,,
1212189,10:31:00,10:31:00,277848,5,,
1255764,17:27:00,17:27:00,510994,0,,
1255764,17:38:00,17:41:00,393652,1,,
1255764,18:33:00,18:41:00,200462,2,,
1255764,19:05:00,19:08:00,153604,3,,
1255764,19:23:00,19:25:00,484573,4,,
1255764,19:31:00,19:33:00,325919,5,,
1255764,20:15:00,20:15:00,469434,6,1,1
1255764,20:27:00,20:27:00,302640,7,,
1262751,07:27:00,07:27:00,34015,0,,
1262751,07:38:00,07:41:00,393652,1,,
1262751,08:33:00,08:41:00,200462,2,,
1262751,09:05:00,09:08:00,153604,3,,
1262751,09:23:00,09:25:00,484573,4,,
1262751,09:31:00,09:33:00,325919,5,,
1262751,10:15:00,10:15:00,469434,6,1,1
1262751,10:27:00,10:27:00,302640,7,,
1277109,15:27:00,15:27:00,48075,0,,
1277109,15:38:00,15:41:00,393652,1,,
1277109,16:33:00,16:39:00,559322,2,,
1277109,17:30:00,17:32:00,303123,3,,
1277109,17:52:00,17:52:00,4829,4,1,1
1277109,18:54:00,18:54:00,618767,5,,
1302453,11:27:00,11:27:00,48075,0,,
1302453,11:38:00,11:41:00,393652,1,,
1302453,12:33:00,12:39:00,242401,2,,
1302453,13:28:00,13:30:00,303123,3,,
1302453,13:51:00,13:51:00,4829,4,1,1
1302453,14:54:00,14:54:00,618767,5,,
1312919,15:52:00,15:52:00,389326,0,,
1312919,15:56:00,15:56:00,4829,1,1,1
1312919,16:31:00,16:34:00,314017,2,,
1312919,17:21:00,17:28:00,200462,3,,
1312919,18:17:00,18:19:00,393652,4,,
1312919,18:31:00,18:31:00,607318,5,,
1331012,07:27:00,07:27:00,34015,0,,
1331012,07:38:00,07:41:00,393652,1,,
1331012,08:33:00,08:39:00,200462,2,,
1331012,09:29:00,09:31:00,303123,3,,
1331012,09:51:00,09:51:00,4829,4,1,1
1331012,10:51:00,10:51:00,618767,5,,
1336498,11:52:00,11:52:00,389326,0,,
1336498,11:56:00,11:56:00,4829,1,1,1
1336498,12:29:00,12:34:00,314017,2,,
1336498,13:21:00,13:28:00,479921,3,,
1336498,14:17:00,14:19:00,393652,4,,
1336498,14:31:00,14:31:00,607318,5,,
1347657,07:52:00,07:52:00,389326,0,,
1347657,07:56:00,07:56:00,4829,1,1,1
1347657,08:31:00,08:34:00,314017,2,,
1347657,09:21:00,09:28:00,479921,3,,
1347657,10:17:00,10:19:00,393652,4,,
1347657,10:31:00,10:31:00,277848,5,,
138613,07:52:00,07:52:00,389326,0,,
138613,07:56:00,07:56:00,4829,1,1,1
138613,08:31:00,08:34:00,314017,2,,
138613,09:21:00,09:28:00,479921,3,,
138613,10:17:00,10:19:00,393652,4,,
138613,10:31:00,10:31:00,277848,5,,
139244,15:37:00,15:37:00,302640,0,,
139244,15:49:00,15:49:00,469434,1,1,1
139244,16:31:00,16:33:00,400433,2,,
139244,16:39:00,16:41:00,192665,3,,
139244,16:53:00,16:55:00,253163,4,,
139244,17:19:00,17:28:00,200462,5,,
139244,18:17:00,18:19:00,393652,6,,
139244,18:31:00,18:31:00,607318,7,,
1394443,09:27:00,09:27:00,48075,0,,
1394443,09:38:00,09:41:00,393652,1,,
1394443,10:33:00,10:39:00,200462,2,,
1394443,11:29:00,11:31:00,303123,3,,
1394443,11:51:00,11:51:00,4829,4,1,1
1394443,12:53:00,12:53:00,618767,5,,
1417496,08:41:00,08:41:00,200462,0,,
1417496,09:05:00,09:08:00,153604,1,,
1417496,09:23:00,09:25:00,484573,2,,
1417496,09:31:00,09:33:00,325919,3,,
1417496,10:15:00,10:15:00,469434,4,1,1
1417496,10:27:00,10:27:00,302640,5,,
1423786,11:27:00,11:27:00,48075,0,,
1423786,11:38:00,11:41:00,393652,1,,
1423786,12:33:00,12:39:00,242401,2,,
1423786,13:28:00,13:30:00,303123,3,,
1423786,13:50:00,13:50:00,4829,4,1,1
1423786,14:51:00,14:51:00,618767,5,,
1456186,13:27:00,13:27:00,549110,0,,
1456186,13:38:00,13:41:00,393652,1,,
1456186,14:33:00,14:40:00,200462,2,,
1456186,15:28:00,15:30:00,303123,3,,
1456186,15:50:00,15:50:00,4829,4,1,1
1456186,16:53:00,16:53:00,618767,5,,
