stop_name,parent_station,stop_id,stop_lat,stop_lon,location_type
's-Hertogenbosch,,392216,51.69054,5.293723,1
's-Hertogenbosch,392216,618767,51.69054,5.293723,
Aachen Hbf,590729,607694,50.7678,6.091499,
Aachen Süd(Gr),,162365,50.731915,6.04541,1
Aachen Süd(Gr),162365,336453,50.731915,6.04541,
"Aachen, Hauptbahnhof",,590729,50.767723,6.092051,1
Aalen Hauptbahnhof,,429729,48.841602,10.096031,1
Aalen Hbf,429729,369634,48.84168,10.09613,
Aalen Hbf,429729,579033,48.841015,10.096271,
Almelo,,502044,52.357285,6.654811,1
Almelo,502044,251045,52.357285,6.654811,
Altena(Westf),189417,254197,51.301956,7.668576,
Altena(Westf),189417,579897,51.302013,7.668693,
"Altena, Bahnhof",,189417,51.301983,7.66881,1
Altenbeken,,417908,51.766434,8.943322,1
Altenbeken,417908,227686,51.766296,8.94298,
Amersfoort Centraal,,466731,52.153465,5.373909,1
Amersfoort Centraal,466731,129297,52.153465,5.373909,
Amsterdam Centraal,,397421,52.37919,4.899431,1
Amsterdam Centraal,397421,68774,52.37919,4.899431,
Amstetten NÖ,,393494,48.121605,14.878112,1
Amstetten NÖ,393494,445613,48.121605,14.878112,
Andernach,46805,165118,50.434544,7.404839,
Andernach Bahnhof,,46805,50.434544,7.40484,1
Angermünde,587552,322687,53.01574,13.995672,
Angermünde,587552,86307,53.015793,13.995908,
"Angermünde, Bahnhof",,587552,53.015823,13.995871,1
Anklam,,546134,53.855984,13.701563,1
Anklam,546134,461835,53.85625,13.701518,
Anklam,546134,528193,53.8563,13.701554,
Ansbach,,371332,49.29803,10.578246,1
Ansbach,371332,102844,49.29803,10.578239,
Ansbach,371332,126216,49.29894,10.577555,
Ansbach,371332,240799,49.29889,10.577582,
Ansbach Bahnhof,371332,28545,49.299145,10.578166,
Ansbach Bahnhof,371332,444902,49.299046,10.578031,
Ansbach Bahnhof,371332,73027,49.299004,10.578067,
Apeldoorn,,519813,52.20943,5.968491,1
Apeldoorn,519813,68657,52.20943,5.968491,
Arnhem Centraal,,4092,51.98478,5.901003,1
Arnhem Centraal,4092,302640,51.98478,5.901003,
Aschaffenburg Hbf,,33550,49.980556,9.1437,1
Aschaffenburg Hbf,33550,106044,49.980797,9.14343,
Aschaffenburg Hbf,33550,300365,49.98065,9.14343,
Aschaffenburg Hbf,33550,465383,49.980556,9.143697,
Attnang-Puchheim,,441558,48.012802,13.720719,1
Attnang-Puchheim,441558,11925,48.012802,13.720719,
Augsburg Hbf,,270614,48.36544,10.885569,1
Augsburg Hbf,270614,121064,48.365532,10.885533,
Augsburg Hbf,270614,234251,48.36546,10.885353,
Augsburg Hbf,270614,561315,48.365437,10.885291,
Augsburg Hbf,270614,609995,48.3656,10.885713,
Augsburg Hbf,270614,617041,48.365673,10.885892,
Augsburg Hbf,270614,622356,48.36544,10.88557,
Augustfehn,,398393,53.220894,7.759622,1
Augustfehn,398393,294181,53.220844,7.75963,
Bad Bentheim,289484,131490,52.30978,7.157785,
Bad Bentheim,289484,399795,52.309853,7.157776,
Bad Bentheim,289484,595436,52.30985,7.158539,
Bad Bentheim Bahnhof,,289484,52.30953,7.158737,1
Bad Bentheim(Gr),,215495,52.3091,7.04016,1
Bad Bentheim(Gr),215495,590711,52.3091,7.04016,
Bad Bevensen,,297320,53.078247,10.574141,1
Bad Bevensen,297320,32774,53.07822,10.574081,
Bad Endorf,,145444,47.904766,12.302122,1
Bad Endorf,145444,600578,47.90459,12.302679,
"Bad Endorf, Bahnhof",145444,583442,47.904682,12.302545,
Bad Hersfeld,,36993,50.869766,9.716581,1
Bad Hersfeld,36993,600553,50.869766,9.716581,
Bad Kleinen,530517,416095,53.766945,11.466213,
Bad Kleinen,530517,541567,53.766644,11.466456,
Bad Kleinen Bhf,,530517,53.76746,11.466429,1
Bad Nauheim,589523,96862,50.367695,8.749241,
Bad Nauheim Bahnhof,,589523,50.367798,8.748327,1
Bad Oeynhausen,282347,608821,52.205257,8.795962,
Bad Oeynhausen,282347,61270,52.205322,8.795944,
"Bad Oeynhausen, Bf/ZOB",,282347,52.2054,8.796519,1
Bad Schandau,228896,506263,50.919315,14.137713,
Bad Schandau,228896,544784,50.91921,14.137704,
Bad Schandau Nationalparkbahnhof,,228896,50.91927,14.138099,1
Bad Zwischenahn,,479084,53.182568,8.002996,1
Bad Zwischenahn,479084,236593,53.18242,8.003398,
Baden-Baden,,409856,48.7902,8.191036,1
Baden-Baden,409856,247196,48.7903,8.190803,
Baden-Baden,409856,403819,48.790478,8.190417,
Baden-Baden,409856,526062,48.79032,8.190731,
"Bahnhof, Friedberg (Hessen)",389501,148846,50.33204,8.760561,
Bamberg,,307245,49.90076,10.899484,1
Bamberg,307245,2786,49.900574,10.900122,
Bamberg,307245,374161,49.900597,10.899735,
Bamberg,307245,567477,49.900547,10.899879,
Basel Bad Bf,,632849,47.567287,7.607805,1
Basel Bad Bf,632849,565272,47.567287,7.607805,
Basel SBB,,346259,47.547405,7.589551,1
Basel SBB,346259,25336,47.547405,7.589551,
Bebra,,602257,50.969566,9.797788,1
Bebra,602257,370298,50.969566,9.797788,
Bensheim,566223,220252,49.681423,8.616721,
Bensheim,566223,319471,49.68174,8.616901,
Bensheim,566223,509573,49.681328,8.616717,
"Bensheim, Bahnhof",,566223,49.681805,8.616955,1
Bergen Bahnhof,,307116,54.420822,13.418737,1
Bergen auf Rügen,307116,267703,54.420414,13.417534,
Bergen auf Rügen,307116,377720,54.42034,13.417668,
Berlin Gesundbrunnen,402152,126186,52.548573,13.390519,
Berlin Gesundbrunnen,402152,17972,52.548794,13.3904,
Berlin Gesundbrunnen,402152,512521,52.548885,13.39039,
Berlin Gesundbrunnen,402152,545293,52.548485,13.390691,
Berlin Gesundbrunnen,402152,89025,52.548386,13.390704,
Berlin Gesundbrunnen,402152,98708,52.54869,13.390501,
Berlin Hbf,39912,279990,52.524998,13.369061,
Berlin Hbf,39912,296151,52.524967,13.369527,
Berlin Hbf,39912,297373,52.52506,13.369167,
Berlin Hbf,39912,363191,52.52488,13.369627,
Berlin Hbf,39912,390712,52.52496,13.368911,
Berlin Hbf,39912,437655,52.525223,13.369887,
Berlin Hbf,39912,447900,52.524788,13.369667,
Berlin Hbf,39912,505232,52.52511,13.369472,
Berlin Hbf,39912,50529,52.525143,13.369612,
Berlin Hbf,39912,511133,52.525097,13.369321,
Berlin Hbf,39912,632696,52.52519,13.369752,
Berlin Ostbahnhof,302764,15214,52.510178,13.434942,
Berlin Ostbahnhof,302764,204090,52.510254,13.435024,
Berlin Ostbahnhof,302764,337638,52.510414,13.435172,
Berlin Ostbahnhof,302764,45450,52.510475,13.43524,
Berlin Ostbahnhof,302764,467282,52.510242,13.434586,
Berlin Ostkreuz,105178,213846,52.50304,13.468615,
Berlin Ostkreuz,105178,377284,52.503067,13.469961,
Berlin Ostkreuz,105178,384579,52.503128,13.469622,
Berlin Ostkreuz,105178,550833,52.502907,13.468553,
Berlin Südkreuz,55793,148604,52.475887,13.365455,
Berlin Südkreuz,55793,149242,52.475925,13.365291,
Berlin Südkreuz,55793,211768,52.475685,13.365454,
Berlin Südkreuz,55793,290099,52.47565,13.365612,
Berlin Südkreuz,55793,37828,52.475407,13.365754,
Berlin Südkreuz,55793,600950,52.475433,13.365603,
Berlin Zoologischer Garten,115960,113564,52.50762,13.332927,
Berlin Zoologischer Garten,115960,341292,52.507652,13.332804,
Berlin Zoologischer Garten,115960,434191,52.507717,13.332555,
Berlin Zoologischer Garten,115960,619424,52.50768,13.332686,
Berlin-Charlottenburg,578485,219251,52.504173,13.301819,
Berlin-Lichtenberg,304410,382723,52.51037,13.497302,
Berlin-Lichtenberg,304410,433630,52.510002,13.49649,
Berlin-Lichtenberg,304410,581412,52.510124,13.496304,
Berlin-Spandau,199734,191703,52.5346,13.197163,
Berlin-Spandau,199734,210535,52.534485,13.1971,
Berlin-Spandau,199734,376899,52.534542,13.197124,
Berlin-Spandau,199734,593994,52.534668,13.197191,
Berlin-Wannsee,233280,101850,52.421402,13.180358,
Berlin-Wannsee,233280,239618,52.42135,13.180446,
Bern,,275275,46.948833,7.439131,1
Bern,275275,556803,46.948833,7.439131,
Bernau(b Berlin),492660,102009,52.675426,13.591859,
Bernau(b Berlin),492660,235276,52.67533,13.592016,
Biberach ZOB/Bahnhof,,207145,48.101456,9.792795,1
Biberach(Riß),207145,351221,48.101994,9.793155,
Biberach(Riß),207145,487424,48.101936,9.792939,
Bielefeld Hbf,,338473,52.029263,8.53272,1
Bielefeld Hbf,338473,117857,52.029522,8.533106,
Bielefeld Hbf,338473,454813,52.02962,8.532917,
Bingen(Rhein) Hbf,577297,160562,49.969147,7.882717,
"Bingen, Hauptbahnhof",,577297,49.96874,7.883543,1
Binz (Ostseebad),,140660,54.404823,13.600502,1
Bischofshofen,,86382,47.41786,13.219888,1
Bischofshofen,86382,195323,47.41786,13.219888,
Bitterfeld,,324153,51.62286,12.31685,1
Bitterfeld,324153,520594,51.62286,12.31685,
Bludenz,,175856,47.154724,9.814564,1
Bludenz,175856,101647,47.154724,9.814564,
Bochnia,,145611,49.9773,20.430775,1
Bochnia,145611,272317,49.9773,20.430775,
Bochum Hbf,,532006,51.479465,7.223335,1
Bochum Hbf,532006,312934,51.478394,7.222859,
Bochum Hbf,532006,486399,51.47853,7.222715,
Bochum Hbf,532006,578216,51.478252,7.223012,
Bochum Hbf,532006,62350,51.478607,7.223275,
Bohumin,,27373,49.90073,18.359444,1
Bohumin,27373,617869,49.90073,18.359444,
Bolzano/Bozen,,589874,46.496376,11.358791,1
Bolzano/Bozen,589874,530628,46.496376,11.358791,
Bondorf,,57012,48.52327,8.827879,1
Bondorf(b Herrenberg),57012,312203,48.52328,8.827735,
Bondorf(b Herrenberg),57012,532725,48.523552,8.827662,
Bondorf(b Herrenberg),57012,621654,48.52329,8.827852,
Bonn Beuel Bf,,153147,50.738476,7.127656,1
Bonn Hbf,,11437,50.732006,7.097131,1
Bonn Hbf,11437,14686,50.731754,7.097212,
Bonn Hbf,11437,282331,50.731956,7.097364,
Bonn Hbf,11437,382429,50.731834,7.097284,
Bonn-Beuel,153147,18831,50.737896,7.12815,
Bonn-Beuel,153147,387478,50.738205,7.127862,
Brandenburg Hbf,541774,372314,52.40043,12.565258,
Brandenburg Hbf,541774,388318,52.400276,12.565075,
Brandenburg Hbf,541774,412470,52.40021,12.565134,
"Brandenburg, Hauptbahnhof",,541774,52.400795,12.566036,1
Bratislava hl.st.,,309476,48.15891,17.106466,1
Bratislava hl.st.,309476,4769,48.15891,17.106466,
Braunschweig Hbf,527022,23039,52.25227,10.54085,
Braunschweig Hbf,527022,327082,52.25223,10.540921,
Braunschweig Hbf,527022,487992,52.252216,10.540295,
"Braunschweig, Hauptbahnhof",,527022,52.252644,10.539547,1
Breclav,,523241,48.7539,16.893236,1
Breclav,523241,400392,48.7539,16.893236,
Breclav(Gr),,438066,48.71265,16.86837,1
Breclav(Gr),438066,265519,48.71265,16.86837,
Bregenz,,264567,47.503002,9.739627,1
Bregenz,264567,256505,47.503002,9.739627,
Bregenz Riedenburg,,146119,47.49291,9.721313,1
Bregenz Riedenburg,146119,626167,47.49291,9.721313,
Bremen Hbf,,610410,53.083256,8.813857,1
Bremen Hbf,610410,100631,53.082947,8.813447,
Bremen Hbf,610410,204454,53.08342,8.814067,
Bremen Hbf,610410,214931,53.0835,8.81418,
Bremen Hbf,610410,352385,53.083275,8.813879,
Bremen Hbf,610410,369901,53.083073,8.813611,
Bremen Hbf,610410,390697,53.083565,8.81426,
Bremen Hbf,610410,555342,53.083355,8.813982,
Brennero/Brenner,,414126,47.002342,11.505426,1
Brennero/Brenner,414126,432373,47.002342,11.505426,
Bressanone/Brixen,,466146,46.709896,11.649764,1
Bressanone/Brixen,466146,175568,46.709896,11.649764,
Brig,,48763,46.319424,7.988095,1
Brig,48763,600130,46.319424,7.988095,
Brno hl.n.,,351915,49.19054,16.612774,1
Brno hl.n.,351915,242404,49.19054,16.612774,
Bruchsal,,72035,49.124924,8.590347,1
Bruchsal,72035,147900,49.125053,8.590275,
Bruchsal,72035,325627,49.12513,8.589924,
Bruchsal,72035,537720,49.124622,8.589649,
Bruchsal,72035,580923,49.125088,8.590113,
Bruck/Mur,,215218,47.41383,15.279433,1
Bruck/Mur,215218,64293,47.41383,15.279433,
