route_long_name,route_short_name,agency_id,route_type,route_id
,1,18,2,1027
,10,119,2,329
,10T,19,2,769
,12N,11,2,137
,12N,119,2,1052
,12N,37,2,805
,12N,84,2,957
,14a,64,2,587
,14b,64,2,1017
,180,62,2,654
,181,62,2,434
,182,62,2,915
,183,62,2,29
,188,62,2,37
,2,37,2,55
,20,123,2,709
,20N,11,2,620
,20N,37,2,453
,22,18,2,621
,227,62,2,746
,23,18,2,213
,232,62,2,190
,234,62,2,493
,27,119,2,848
,27N,11,2,903
,27N,37,2,262
,27N,42,2,1000
,27N,46,2,324
,290,133,2,280
,3,37,2,904
,301,18,2,608
,302,18,2,967
,303,18,2,296
,32,119,2,494
,338,73,2,236
,418,19,2,270
,435,19,2,22
,43N,11,2,149
,43N,37,2,679
,447T,19,2,982
,464,19,2,497
,48,18,2,297
,50,37,2,887
,51,37,2,893
,555,107,2,545
,586,107,2,367
,604,73,2,844
,610,107,2,958
,611,19,2,782
,612,19,2,429
,62,119,2,571
,62N,37,2,488
,62N,40,2,972
,62N,42,2,292
,640,107,2,783
,642,107,2,123
,644,107,2,968
,646,107,2,752
,651,73,2,550
,652,73,2,962
,654,73,2,38
,657,73,2,5
,670,73,2,197
,671,73,2,325
,688,73,2,298
,75,39,2,639
,75,65,2,373
,800,48,2,908
,801,48,2,1049
,802,48,2,821
,804,48,2,529
,812,48,2,757
,813,48,2,485
,814Ast,19,2,468
,82,119,2,1032
,82,13,2,1018
,83,119,2,659
,83,13,2,299
,830,48,2,698
,831,48,2,622
,832,48,2,988
,833,48,2,905
,834,48,2,473
,835,48,2,882
,836,48,2,1019
,837,48,2,451
,838,48,2,210
,839,48,2,334
,84,119,2,1007
,84,13,2,597
,841,48,2,840
,842,48,2,504
,843,48,2,362
,845,48,2,1013
,846,48,2,406
,847,48,2,474
,848,48,2,770
,850,48,2,628
,851,48,2,747
,857,48,2,50
,89,119,2,724
,8X,108,2,623
,90,119,2,989
,90,32,2,674
,90N,37,2,271
,912ST,19,2,733
,913,5,2,977
,91N,37,2,23
,923,5,2,498
,925,5,2,176
,926,76,2,816
,927,76,2,16
,931,5,2,460
,932,76,2,1045
,934,76,2,301
,937,76,2,546
,945,76,2,565
,948,76,2,439
,949,76,2,530
,951,76,2,59
,955,76,2,425
,967,76,2,863
,976,5,2,374
,A1,51,2,399
,A2,51,2,263
,A3,51,2,930
,AIR,7,2,740
,ALF25,32,2,146
,ALF26,32,2,978
,ALF4,32,2,179
,ALF5,32,2,185
,ALF58,32,2,584
,ALF64,32,2,350
,ALF66,32,2,894
,ALF67,32,2,228
,ALF70,32,2,180
,AST,18,2,430
,AST,19,2,177
,AST 16,18,2,386
,AST1,19,2,1028
,AST2,19,2,715
,AST3,19,2,909
,AST4,19,2,161
,C11,126,2,272
,C13,126,2,110
,C14,126,2,375
,C15,126,2,120
,CD 030,30,2,229
,CD 034,30,2,83
,CD 035,30,2,96
,CD 036,30,2,1012
,CD 037,30,2,811
,CD 038,30,2,115
,CD 040,30,2,669
,CD 041,30,2,330
,CD 042,30,2,407
,CD 044,30,2,725
,CD 064,30,2,1037
,CD 070,30,2,101
,CD 076,30,2,588
,CD 080,30,2,734
,CD 081,30,2,1001
,CD 083,30,2,859
,CD 084,30,2,841
,CD 085,30,2,1040
,CD 086,30,2,633
,CD 087,30,2,979
,DPF,109,2,170
,DPF,130,2,281
,DPF,85,2,602
,DPN,102,2,518
,DPN,106,2,378
,DPN,110,2,315
,DPN,113,2,64
,DPN,115,2,358
,DPN,117,2,10
,DPN,126,2,677
,DPN,127,2,1046
,DPN,55,2,710
,DPN,68,2,687
,DPN,77,2,954
,DPN,8,2,121
,DPN,87,2,552
,DPN,95,2,408
,DWE,67,2,1029
,ECM,119,2,400
,ECM,49,2,214
,ECM,65,2,60
,EX,128,2,945
,FE,6,2,666
,FEX,15,2,969
,FEX,25,2,699
,FLX10,45,2,411
,FLX20,45,2,178
,FLX30,45,2,940
,FLX35,45,2,250
,HBX,92,2,719
,HSB,23,2,831
,INT,33,2,97
,INT,37,2,198
,IR,65,2,65
,IRE,15,2,729
,KJ1,1,2,688
,L7,21,2,898
,Linie A,30,2,822
,Linie B,30,2,973
,Lößnitzgrundbahn,41,2,257
,MEX12,81,2,645
,MEX13,112,2,230
,MEX16,112,2,995
,MEX17a,81,2,129
,MEX17c,81,2,24
,MEX18,81,2,401
,N14,39,2,287
,N65,39,2,773
,N71,39,2,237
,N72,39,2,307
,N90,18,2,714
,NJ,37,2,776
,NJ,65,2,585
,OE46,30,2,475
,Os,84,2,519
,PE,44,2,692
,R,33,2,667
,R,37,2,394
,R933,76,2,316
,RB,37,2,84
,RB1,14,2,946
,RB10,118,2,302
,RB10,15,2,594
,RB10a,81,2,753
,RB11,111,2,419
,RB11,64,2,616
,RB11,66,2,629
,RB110,116,2,572
,RB113,47,2,609
,RB12,111,2,920
,RB12,113,2,579
,RB12,38,2,941
,RB12,66,2,326
,RB12,74,2,409
,RB13,122,2,737
,RB13,16,2,931
,RB13,59,2,402
,RB14,15,2,720
,RB14,16,2,75
,RB14,59,2,56
,RB15,16,2,30
,RB15,38,2,420
,RB15,74,2,524
,RB15,80,2,238
,RB16,111,2,787
,RB16,38,2,511
,RB16,74,2,319
,RB16,79,2,6
,RB17,16,2,260
,RB17,80,2,640
,RB17a,81,2,456
,RB17c,81,2,556
,RB18,16,2,812
,RB18,80,2,777
,RB18,81,2,634
,RB19,16,2,351
,RB2,14,2,758
,RB2,47,2,566
,RB20,105,2,261
,RB20,15,2,560
,RB20,52,2,743
,RB21,101,2,683
,RB21,111,2,162
,RB21,122,2,376
,RB21,15,2,617
,RB21,4,2,431
,RB22,105,2,573
,RB22,122,2,155
,RB22,15,2,308
,RB22,54,2,415
,RB22,80,2,766
,RB23,100,2,309
,RB23,122,2,317
,RB23,15,2,69
,RB23,24,2,152
,RB23,66,2,505
,RB24,105,2,580
,RB24,15,2,832
,RB24,66,2,761
,RB24,80,2,435
,RB25,105,2,312
,RB25,111,2,739
,RB25,113,2,163
,RB25,52,2,251
,RB25,66,2,199
,RB26,113,2,784
,RB26,122,2,730
,RB26,27,2,242
,RB26,53,2,25
,RB26,64,2,495
,RB26,80,2,219
,RB27,105,2,98
,RB27,113,2,335
,RB27,122,2,845
,RB27,14,2,833
,RB27,24,2,899
,RB27,64,2,457
,RB27,84,2,813
,RB28,101,2,704
,RB28,122,2,806
,RB28,13,2,1056
,RB28,24,2,581
