stop_name,parent_station,stop_id,stop_lat,stop_lon,location_type
's-Hertogenbosch,,392216,51.69054,5.293723,1
's-Hertogenbosch,392216,618767,51.69054,5.293723,
Aachen Central Station (FlixTrain),,411656,50.767788,6.091192,1
Aachen Central Station (FlixTrain),411656,588167,50.767788,6.091192,
Aachen Hbf,590729,607694,50.7678,6.091499,
Aachen Schanz,,298346,50.769863,6.07384,1
Aachen Schanz,298346,569707,50.769863,6.07384,
Aachen Süd(Gr),,162365,50.731915,6.04541,1
Aachen Süd(Gr),162365,336453,50.731915,6.04541,
Aachen West,,42941,50.78036,6.070715,1
Aachen West,42941,308368,50.78036,6.070715,
"Aachen, Hauptbahnhof",,590729,50.767723,6.092051,1
Aachen-Rothe Erde,,573445,50.770203,6.116475,1
Aachen-Rothe Erde,573445,87652,50.770203,6.116475,
Aalen Hauptbahnhof,,429729,48.841602,10.096031,1
Aalen Hbf,429729,194929,48.841698,10.096363,
Aalen Hbf,429729,369634,48.84168,10.09613,
Aalen Hbf,429729,43857,48.841713,10.096534,
Aalen Hbf,429729,579033,48.841015,10.096271,
Abenden,,131125,50.671085,6.476459,1
Abenden,131125,77621,50.671085,6.476459,
Abensberg,,298698,48.819454,11.846623,1
"Abensberg, Bahnhof",298698,333675,48.81914,11.847045,
"Abensberg, Bahnhof",298698,502304,48.81916,11.847144,
Abzweig Boltenhof,180753,246159,53.108604,13.242305,
Abzweig Boltenhof,180753,504401,53.108803,13.242185,
Abzweig Grüneberg,213685,184392,52.870296,13.166052,
Abzweig Grüneberg,213685,554600,52.87015,13.166025,
Abzweig Neulüdersdorf,127645,309277,53.05544,13.191042,
Abzweig Neulüdersdorf,127645,319391,53.05534,13.191037,
Abzweig Neuroofen,349013,100177,53.1267,13.060146,
Abzweig Neuroofen,349013,352447,53.126564,13.059998,
Abzweig Neutornow,167250,308042,53.085354,13.264809,
Abzweig Neutornow,167250,604243,53.08596,13.264486,
Abzweig Seilershof,20740,295056,53.07159,13.181309,
Abzweig Seilershof,20740,543774,53.073044,13.181468,
Abzweig Tiefenbrunn,564092,151303,53.158882,13.117328,
Abzweig Tiefenbrunn,564092,15733,53.158764,13.117165,
Abzweig Zernikow,291652,106815,53.085987,13.071979,
Abzweig Zernikow,291652,428439,53.08609,13.071954,
Achern,274141,104332,48.633778,8.065353,
Achern,274141,36731,48.63399,8.065324,
Achern Bahnhof,,274141,48.6337,8.065003,1
Achern Bahnhof,274141,311877,48.633984,8.065407,
Achern Bahnhof,274141,397227,48.63396,8.065236,
Achern Stadt,,413140,48.62554,8.068012,1
Achern Stadt,413140,367115,48.625736,8.067706,
Achim,520701,558935,53.015945,9.03038,
Achim(b Bremen) (Zug),,520701,53.015995,9.030313,1
Achkarren,12507,368674,48.059723,7.60838,
"Achkarren, Bahnhof",,12507,48.059715,7.607994,1
Achmer,,149510,52.390488,7.941875,1
Achmer,149510,171831,52.39058,7.941991,
Achterwehr,,574635,54.314915,9.964024,1
Achterwehr,574635,356915,54.314915,9.964024,
Adelebsen,,292233,51.577675,9.759952,1
Adelebsen,292233,103030,51.57769,9.760044,
Adelschlag,,123072,48.84076,11.211442,1
Adelschlag,123072,324339,48.840984,11.21084,
Adelschlag,123072,459411,48.840885,11.210948,
Adelsdorf Bahnhof,149124,370329,49.4739,10.685101,
Adelsdorf(Mittelfr),,149124,49.474945,10.687041,1
Adelsheim Nord,551726,151827,49.421387,9.392407,
Adelsheim Nord,551726,190530,49.421535,9.39291,
Adelsheim Ost,590891,517210,49.402843,9.394779,
Adelsheim Ost,590891,68678,49.40296,9.395147,
"Adelsheim, Nordbahnhof",,551726,49.42145,9.392659,1
"Adelsheim, Ost",,590891,49.4029,9.394968,1
Adorf(Erzgeb),536493,161157,50.76385,12.873666,
Adorf(Vogtl),419976,135347,50.324043,12.260899,
Adorf(Vogtl),419976,279641,50.324055,12.260755,
Adorf(Vogtl),419976,524972,50.324043,12.261024,
"Adorf, Bahnhof",,419976,50.32395,12.26168,1
"Adorf, Haltepunkt",,536493,50.763832,12.874753,1
Affaltrach,,477975,49.137825,9.37913,1
Affaltrach,477975,255453,49.137886,9.379337,
Affaltrach,477975,443145,49.13778,9.378924,
Agatharied,,484080,47.766384,11.82544,1
Agatharied,484080,415583,47.765453,11.824533,
Agathenburg,,392775,53.56399,9.531536,1
Agathenburg,392775,369966,53.56433,9.530793,
Aglasterhausen,37564,6549,49.349842,8.990591,
"Aglasterhausen, Bahnhof",,37564,49.35007,8.990771,1
Aha,69962,92090,47.833225,8.134349,
Aha (Schluchsee) Bahnhof,,69962,47.832996,8.134784,1
Ahaus,487344,352738,52.08189,7.016462,
Ahaus,487344,619032,52.08204,7.016552,
"Ahaus, Bahnhof",,487344,52.08168,7.016453,1
Ahe Kreuzung,,506240,52.1861,9.142909,1
Ahlbeck Grenze,,357731,53.92284,14.215588,1
Ahlbeck Grenze,357731,526852,53.921967,14.215549,
Ahlbeck Ostseetherme,,437330,53.9426,14.179547,1
Ahlbeck Ostseetherme,437330,222664,53.944427,14.177287,
Ahlbeck Seebad,,46844,53.935627,14.188135,1
Ahlen(Westf),410282,495476,51.760754,7.894934,
"Ahlen, Bahnhof",,410282,51.761063,7.895491,1
Ahlhorn,,628990,52.899258,8.209424,1
Ahlhorn,628990,417636,52.899197,8.209481,
Ahlhorn,628990,420798,52.899315,8.209366,
Ahlten,300428,607460,52.37627,9.904896,
Ahlten Bahnhof,,300428,52.376255,9.904213,1
Ahnatal-Casselbreite Gl.1 Ri. Wolfhagen,147533,497236,51.36286,9.434109,
Ahnatal-Heckershausen Bahnhof,,161586,51.362984,9.422983,1
Ahnatal-Heckershausen Casselbreite,,147533,51.362732,9.432279,1
Ahnatal-Heckershausen Gl.1 Ri. Kassel,161586,245558,51.362984,9.422983,
Ahnatal-Weimar,,145625,51.36363,9.391588,1
Ahnatal-Weimar,145625,277351,51.36363,9.391588,
Ahnatal-Weimar Bahnhof,,313154,51.36363,9.392112,1
Ahnatal-Weimar Gl.1 Ri.Wolfhagen,313154,274837,51.363407,9.391969,
Ahrensburg,,278035,53.669125,10.23625,1
Ahrensburg,278035,182443,53.66917,10.236203,
Ahrensburg,278035,34087,53.669216,10.236401,
Ahrensburg,278035,34190,53.669094,10.236554,
Ahrensburg,278035,604396,53.669327,10.236312,
"Ahrensburg, Gartenholz",,611170,53.688686,10.251822,1
Ahrensburg-Gartenholz,611170,454356,53.689014,10.251897,
Ahrensfelde,85098,371530,52.571392,13.565467,
Ahrensfelde Friedhof,518734,350982,52.580524,13.573094,
Ahrensfelde Nord,,585485,52.590687,13.581985,1
Ahrensfelde Nord,585485,234664,52.590687,13.581985,
"Ahrensfelde, Friedhof Bhf",,518734,52.58049,13.572999,1
Ahrweiler,185506,67419,50.54641,7.107258,
Ahrweiler Markt,69707,373853,50.544228,7.094229,
Aich (Niederbay),,374432,48.417313,12.398161,1
Aich(Niederbay),374432,174516,48.417427,12.398107,
Aichach,,505092,48.461117,11.122724,1
Aichach,505092,10780,48.461285,11.122823,
Aichach,505092,529360,48.461266,11.122895,
Aichstetten,266048,184627,47.88792,10.075253,
Aichstetten,266048,553514,47.887794,10.074678,
Aichstetten Bahnhof,,266048,47.887985,10.074399,1
Ainring,,105182,47.815033,12.964504,1
Ainring,105182,265945,47.814907,12.964378,
"Aitrach-Marstetten, Bahnhof",,459381,47.943577,10.080373,1
Aix-en-Provence TGV,,535333,43.45517,5.317224,1
Aix-en-Provence TGV,535333,433644,43.45517,5.317224,
Albbruck,593674,217865,47.592434,8.132269,
Albbruck,593674,512663,47.592438,8.132448,
Albbruck Bahnhof,,593674,47.592407,8.132314,1
Albersdorf,312238,419039,54.14632,9.292151,
Albersdorf(Holst),,312238,54.14632,9.292151,1
Albersweiler(Pfalz),177157,44251,49.218616,8.02386,
"Albersweiler, Bahnhof",,177157,49.2186,8.023842,1
Albert-Schweitzer-Realschule,,365069,48.520695,9.044391,1
"Albgaubad, Ettlingen",46125,611745,48.936832,8.41495,
"Albgaubad, Ettlingen",46125,620134,48.936893,8.415184,
Albig,456094,324635,49.77178,8.116503,
Albig,456094,478820,49.771824,8.116557,
"Albig, Bahnhof",,456094,49.771866,8.116512,1
Albrechtshaus,,123691,51.64227,10.92926,1
Albrechtshaus,123691,277630,51.642174,10.929267,
Albrechtshof,279133,181906,52.549377,13.129182,
Albrechtshof,279133,193542,52.5493,13.129131,
Albshausen,481377,460533,50.545254,8.434567,
Albsheim(Eis),334928,505493,49.580597,8.179268,
"Albsheim, Bahnhof",,334928,49.580555,8.179277,1
Albstadt-Ebingen,,433629,48.210236,9.027287,1
Albstadt-Ebingen,433629,471128,48.210236,9.02753,
Albstadt-Ebingen,433629,52865,48.210224,9.027009,
Albstadt-Ebingen,433629,60400,48.21029,9.026962,
Albstadt-Ebingen West,529484,17574,48.21139,8.997194,
Albstadt-Ebingen West,529484,474073,48.21134,8.997202,
Albstadt-Ebingen West,529484,523778,48.21139,8.99698,
Albstadt-Laufen Bahnhof,,16460,48.22271,8.917684,1
Albstadt-Laufen Ort,16460,510543,48.222553,8.917962,
Albstadt-Lautlingen,,234693,48.21361,8.954631,1
Albstadt-Lautlingen,234693,512112,48.21364,8.95462,
Aldekerk,358756,13310,51.43561,6.412588,
Aldekerk,358756,42586,51.435898,6.412435,
Aldingen Bahnhof,,174223,48.09631,8.712517,1
Aldingen(b Spaichingen),174223,431421,48.095955,8.712904,
Aldingen(b Spaichingen),174223,97158,48.095955,8.712706,
Aletshausen,,164888,48.20131,10.383635,1
Aletshausen,164888,279447,48.201435,10.383662,
Alexisbad,,524052,51.648037,11.115112,1
Alexisbad,524052,544317,51.648132,11.115311,
Alfeld (Leine) Bahnhof,,536189,51.98114,9.81837,1
Alfeld(Leine),536189,100335,51.981373,9.818101,
Alfeld(Leine),536189,56879,51.981316,9.818011,
Alfons-Auer-Straße,,343122,49.006016,12.108877,1
Alfter Impekoven (S),,394202,50.71101,7.019831,1
Alfter Witterschlick Bf,,515839,50.689697,7.026074,1
Alfter-Impekoven,394202,528396,50.711395,7.020226,
Alfter-Witterschlick,515839,215619,50.689247,7.025742,
Alfter-Witterschlick,515839,494737,50.689224,7.025823,
Algermissen,333563,45613,52.251923,9.966601,
Algermissen Bahnhof,,333563,52.252445,9.96626,1
Aligse,425757,422313,52.403267,9.979286,
Aligse,425757,53808,52.40312,9.979106,
Aligse Bahnhof,,425757,52.40282,9.978899,1
Allach,,352389,48.189747,11.468109,1
Allendorf(Dillkr),305289,630821,50.743935,8.185659,
Allensbach,65022,195310,47.71432,9.06931,
Allensbach,65022,356833,47.714146,9.06975,
Allensbach Bahnhof,,65022,47.7146,9.068646,1
Allerheiligen,,599926,51.142532,6.756777,1
Allerheiligenhöfe,,604412,47.26903,11.352969,1
Allerheiligenhöfe,604412,476731,47.26903,11.352969,
Allersberg (Rothsee),,281150,49.26213,11.212574,1
Allersberg(Rothsee),281150,585204,49.26213,11.212573,
Allersberg(Rothsee),281150,626826,49.262287,11.211774,
"Allersberg, Rothsee Bahnhof",281150,101417,49.262276,11.211199,
Allmendingen,604297,381973,48.327724,9.72235,
Allmendingen Bahnhof,,604297,48.327362,9.722862,1
Allmendshofen Bahnhof,,149207,47.940945,8.502087,1
Alpen,119763,226580,51.58328,6.518158,
Alpen Bahnhof,,119763,51.583714,6.517664,1
Alpirsbach,40348,105059,48.34392,8.398197,
Alpirsbach,40348,597340,48.343884,8.398233,
Alpirsbach Bahnhof,,40348,48.343628,8.398179,1
Alsbach-Hähnlein-Alsbach Hähnlein-Alsbach Bahnhof,,352105,49.73978,8.606479,1
Alsdorf (Sieg) Alsdorf Bf,,387231,50.780884,7.890478,1
Alsdorf (Sieg) Grünebacherhütte Bf,,463251,50.78165,7.891538,1
Alsdorf Poststraße,,345928,50.855675,6.19705,1
Alsdorf Poststraße,345928,532800,50.855675,6.19705,
Alsdorf(Westerw),387231,457777,50.78089,7.890486,
"Alsdorf, Annapark Bahnhof (Bus),Alsdorf (b Aachen)",,76248,50.87082,6.157457,1
Alsdorf-Annapark,76248,446838,50.87082,6.157457,
Alsdorf-Busch,,216860,50.876587,6.140586,1
Alsdorf-Busch,216860,303036,50.876587,6.140586,
Alsdorf-Kellersberg,,242126,50.867527,6.167354,1
Alsdorf-Kellersberg,242126,531447,50.867527,6.167354,
